Date,Time,4-403           :PV,4-403           :SV,4-403           :INT Time,4-403           :INT Flow,4-404           :PV,4-404           :SV,4-404           :INT Time,4-404           :INT Flow,4-407-1         :PV,4-407-1         :SV,4-407-1         :INT Time,4-407-1         :INT Flow
20231211,14:56:36,0.00,0.00,04 00:59:08,1.750E+00,4.77,100.00,03 23:13:25,6.660E+03,5.40,0.00,04 00:58:36,7.177E+04
20231211,14:56:41,0.00,0.00,04 00:59:13,1.750E+00,4.78,100.00,03 23:13:30,6.661E+03,5.33,0.00,04 00:58:41,7.177E+04
20231211,14:56:46,0.00,0.00,04 00:59:18,1.750E+00,4.78,100.00,03 23:13:35,6.661E+03,5.19,0.00,04 00:58:46,7.177E+04
20231211,14:56:51,0.00,0.00,04 00:59:24,1.750E+00,4.80,100.00,03 23:13:40,6.662E+03,5.39,0.00,04 00:58:52,7.177E+04
20231211,14:56:57,0.00,0.00,04 00:59:29,1.750E+00,4.80,100.00,03 23:13:46,6.662E+03,5.40,0.00,04 00:58:57,7.177E+04
20231211,14:57:02,0.00,0.00,04 00:59:34,1.750E+00,4.83,100.00,03 23:13:51,6.663E+03,5.38,0.00,04 00:59:02,7.177E+04
20231211,14:57:07,0.00,0.00,04 00:59:39,1.750E+00,5.25,100.00,03 23:13:56,6.663E+03,5.39,0.00,04 00:59:07,7.177E+04
20231211,14:57:12,0.00,0.00,04 00:59:45,1.750E+00,5.15,100.00,03 23:14:02,6.663E+03,5.39,0.00,04 00:59:13,7.177E+04
20231211,14:57:18,0.00,0.00,04 00:59:50,1.750E+00,5.13,100.00,03 23:14:07,6.664E+03,5.40,0.00,04 00:59:18,7.178E+04
20231211,14:57:23,0.00,0.00,04 00:59:56,1.750E+00,5.12,100.00,03 23:14:12,6.664E+03,5.37,0.00,04 00:59:23,7.178E+04
20231211,14:57:28,0.00,0.00,04 01:00:01,1.750E+00,5.10,100.00,03 23:14:17,6.665E+03,5.38,0.00,04 00:59:28,7.178E+04
20231211,14:57:34,0.00,0.00,04 01:00:06,1.750E+00,5.10,100.00,03 23:14:23,6.665E+03,5.40,0.00,04 00:59:34,7.178E+04
20231211,14:57:39,0.00,0.00,04 01:00:12,1.750E+00,5.09,100.00,03 23:14:28,6.666E+03,5.38,0.00,04 00:59:39,7.178E+04
20231211,14:57:44,0.00,0.00,04 01:00:17,1.750E+00,5.10,100.00,03 23:14:33,6.666E+03,5.39,0.00,04 00:59:44,7.178E+04
20231211,14:57:49,0.00,0.00,04 01:00:22,1.750E+00,5.07,100.00,03 23:14:38,6.667E+03,5.40,0.00,04 00:59:49,7.178E+04
20231211,14:57:55,0.00,0.00,04 01:00:27,1.750E+00,5.08,100.00,03 23:14:44,6.667E+03,5.37,0.00,04 00:59:55,7.178E+04
20231211,14:58:00,0.00,0.00,04 01:00:33,1.750E+00,5.05,100.00,03 23:14:49,6.667E+03,5.40,0.00,04 01:00:00,7.178E+04
20231211,14:58:05,0.00,0.00,04 01:00:38,1.750E+00,5.06,100.00,03 23:14:55,6.668E+03,5.39,0.00,04 01:00:05,7.178E+04
20231211,14:58:11,0.00,0.00,04 01:00:43,1.750E+00,5.05,100.00,03 23:15:00,6.668E+03,5.10,0.00,04 01:00:10,7.178E+04
20231211,14:58:16,0.00,0.00,04 01:00:48,1.750E+00,5.02,100.00,03 23:15:05,6.669E+03,5.40,0.00,04 01:00:16,7.178E+04
20231211,14:58:21,0.00,0.00,04 01:00:54,1.750E+00,5.04,100.00,03 23:15:10,6.669E+03,5.41,0.00,04 01:00:21,7.178E+04
20231211,14:58:26,0.00,0.00,04 01:00:59,1.750E+00,5.04,100.00,03 23:15:16,6.670E+03,5.41,0.00,04 01:00:26,7.178E+04
20231211,14:58:32,0.00,0.00,04 01:01:04,1.750E+00,5.01,100.00,03 23:15:21,6.670E+03,5.41,0.00,04 01:00:31,7.178E+04
20231211,14:58:37,0.00,0.00,04 01:01:09,1.750E+00,5.03,100.00,03 23:15:26,6.671E+03,5.41,0.00,04 01:00:37,7.178E+04
