Date,Time,1-116           :PV,1-116           :SV,1-116           :INT Time,1-116           :INT Flow,1-128           :PV,1-128           :SV,1-128           :INT Time,1-128           :INT Flow
20231212,16:49:41,0.00,100.00,05 02:50:36,5.686E+00,0.00,100.00,05 02:50:29,1.089E+03
20231212,16:49:47,0.00,100.00,05 02:50:42,5.686E+00,0.00,100.00,05 02:50:35,1.089E+03
20231212,16:49:52,0.00,100.00,05 02:50:47,5.686E+00,0.00,100.00,05 02:50:40,1.089E+03
20231212,16:49:57,0.00,100.00,05 02:50:52,5.686E+00,0.00,100.00,05 02:50:45,1.089E+03
20231212,16:50:03,0.00,100.00,05 02:50:57,5.686E+00,0.00,100.00,05 02:50:51,1.089E+03
20231212,16:50:08,0.00,100.00,05 02:51:03,5.686E+00,0.00,100.00,05 02:50:56,1.089E+03
20231212,16:50:13,0.00,100.00,05 02:51:08,5.686E+00,0.00,100.00,05 02:51:01,1.089E+03
20231212,16:50:18,0.00,100.00,05 02:51:13,5.686E+00,0.00,100.00,05 02:51:06,1.089E+03
20231212,16:50:24,0.00,100.00,05 02:51:18,5.686E+00,0.00,100.00,05 02:51:12,1.089E+03
20231212,16:50:29,0.00,100.00,05 02:51:24,5.686E+00,0.00,100.00,05 02:51:17,1.089E+03
20231212,16:50:34,0.00,100.00,05 02:51:29,5.686E+00,0.00,100.00,05 02:51:23,1.089E+03
20231212,16:50:40,0.00,100.00,05 02:51:34,5.686E+00,0.00,100.00,05 02:51:28,1.089E+03
20231212,16:50:45,0.00,100.00,05 02:51:39,5.686E+00,0.00,100.00,05 02:51:33,1.089E+03
20231212,16:50:50,0.00,100.00,05 02:51:45,5.686E+00,0.00,100.00,05 02:51:38,1.089E+03
20231212,16:50:55,0.00,100.00,05 02:51:50,5.686E+00,0.00,100.00,05 02:51:44,1.089E+03
20231212,16:51:01,0.00,100.00,05 02:51:55,5.686E+00,0.00,100.00,05 02:51:49,1.089E+03
